address,auction_date,auction_result,base_price_eur,codice,final_offer_eur,lot_id,source_pdf,surface_sqm,winner
71025513 MILANO VIA RICCARDO BALSAMO CRIVELLI '20,13 Giugno 2024,AGGIUDICATA,173986.0,71020513,255640.0,136/24,esito-13giugno2024.pdf,101.0,P.S.
MILANO VIA RICCARDO BALSAMO CRIVELLI '16,13 Giugno 2024,AGGIUDICATA,215199.0,71020636,276100.0,137/24,esito-13giugno2024.pdf,130.0,A.M.
MILANO VIA DESSIE' '15,13 Giugno 2024,AGGIUDICATA,78489.0,93240037,171000.0,138/24,esito-13giugno2024.pdf,54.0,L.M.
MILANO VIA MAC MAHON '89,1 Ottobre 2015,AGGIUDICATA,93139.0,00020148,116000.0,252/15,esito-01ottobre15.pdf,,R.F.
MILANO VIA BRAMANTINO '3,1 Ottobre 2015,ASTA DESERTA,80784.0,00230196,0.0,253/15,esito-01ottobre15.pdf,,
MILANO VIA JACOPINO DA TRADATE '14,1 Ottobre 2015,AGGIUDICATA,67478.0,00230657,68500.0,254/15,esito-01ottobre15.pdf,,B.L.
MILANO VIA GASPARE ASELLI '18,1 Ottobre 2015,AGGIUDICATA,68628.0,00280449,131750.0,255/15,esito-01ottobre15.pdf,,D.M.A.
MILANO VIA FILIPPO ABBIATI '5,1 Ottobre 2015,ASTA DESERTA,55374.0,00341234,0.0,256/15,esito-01ottobre15.pdf,,
MILANO VIA DALMAZIO BIRAGO '2 A,1 Ottobre 2015,AGGIUDICATA,41177.0,00410023,48026.0,257/15,esito-01ottobre15.pdf,,G.S.
MILANO VIA DALMAZIO BIRAGO '2 B,1 Ottobre 2015,AGGIUDICATA,59478.0,00410065,83100.0,258/15,esito-01ottobre15.pdf,,R.L.
MILANO VIA DALMAZIO BIRAGO '4 A,1 Ottobre 2015,AGGIUDICATA,40033.0,00410137,51250.0,259/15,esito-01ottobre15.pdf,,S.C.
MILANO VIA DALMAZIO BIRAGO '4 B,1 Ottobre 2015,ASTA DESERTA,60622.0,00410208,0.0,260/15,esito-01ottobre15.pdf,,
MILANO VIA DALMAZIO BIRAGO '4 C,1 Ottobre 2015,AGGIUDICATA,65197.0,00410213,70300.0,261/15,esito-01ottobre15.pdf,,A.A.
MILANO VIA ANGELO INGANNI '52,1 Ottobre 2015,AGGIUDICATA,65772.0,00433605,81000.0,262/15,esito-01ottobre15.pdf,,B.R.
MILANO VIA COMASINA '57 A,1 Ottobre 2015,AGGIUDICATA,45247.0,00510055,56188.0,263/15,esito-01ottobre15.pdf,,Y.N.
MILANO VIA COMASINA '57 B,1 Ottobre 2015,AGGIUDICATA,42072.0,00510094,50000.0,264/15,esito-01ottobre15.pdf,,V.A.
MILANO VIA TEANO '36,1 Ottobre 2015,AGGIUDICATA,52038.0,00510288,55660.0,265/15,esito-01ottobre15.pdf,,R.C.M.
MILANO VIA SANTUARIO DEL SACRO CUORE '3,1 Ottobre 2015,AGGIUDICATA,48510.0,00510582,51110.0,266/15,esito-01ottobre15.pdf,,G.F.
MILANO VIALE UNGHERIA '2,1 Ottobre 2015,AGGIUDICATA,63612.0,00551377,75005.0,267/15,esito-01ottobre15.pdf,,G.N.
MILANO VIA LUIGI SORDELLO '10,1 Ottobre 2015,AGGIUDICATA,53010.0,00551927,66530.0,268/15,esito-01ottobre15.pdf,,D.F.F.
MILANO VIA CONCILIO VATICANO II '10 A,1 Ottobre 2015,ASTA DESERTA,59486.0,00620766,0.0,269/15,esito-01ottobre15.pdf,,
MILANO VIA CONCILIO VATICANO II '10 B,1 Ottobre 2015,AGGIUDICATA,57008.0,00620770,60111.0,270/15,esito-01ottobre15.pdf,,A.A.
MILANO VIA DEGLI ONTANI '44,1 Ottobre 2015,ASTA DESERTA,85140.0,00650158,0.0,271/15,esito-01ottobre15.pdf,,
MILANO VIA DEI SALICI '59,1 Ottobre 2015,AGGIUDICATA,72819.0,00650503,80501.0,272/15,esito-01ottobre15.pdf,,A.G.
MILANO VIA COSTANTINO BARONI '75,1 Ottobre 2015,AGGIUDICATA,71971.0,00663815,77770.0,273/15,esito-01ottobre15.pdf,,S.Y.
MILANO VIA ALESSANDRO LITTA MODIGNANI '113,1 Ottobre 2015,ASTA DESERTA,74970.0,00690134,0.0,274/15,esito-01ottobre15.pdf,,
MILANO VIA ALESSANDRO LITTA MODIGNANI '103,1 Ottobre 2015,NON OPTATO,76734.0,00690333,0.0,275/15,esito-01ottobre15.pdf,,
MILANO VIA ALESSANDRO LITTA MODIGNANI '115,1 Ottobre 2015,AGGIUDICATA,90846.0,00690500,91100.0,276/15,esito-01ottobre15.pdf,,P.E.
MILANO VIA FILIPPO DE PISIS '27,1 Ottobre 2015,ASTA DESERTA,52751.0,00700805,0.0,277/15,esito-01ottobre15.pdf,,
MILANO VIA GIACOMO QUARENGHI '43,1 Ottobre 2015,AGGIUDICATA,87360.0,00722652,131600.0,278/15,esito-01ottobre15.pdf,,O.T.A.
CORSICO VIALE ITALIA '34,1 Ottobre 2015,AGGIUDICATA,64109.0,00741287,64600.0,279/15,esito-01ottobre15.pdf,,F.V.-.F.G.
CORSICO VIA MARZABOTTO '20,1 Ottobre 2015,ASTA DESERTA,64109.0,00741880,0.0,280/15,esito-01ottobre15.pdf,,
CORSICO VIA BENVENUTO CELLINI '12,1 Ottobre 2015,AGGIUDICATA,69451.0,00742062,75100.0,281/15,esito-01ottobre15.pdf,,I.G.
MILANO VIA AGOSTINO DE PRETIS '51,1 Ottobre 2015,ASTA DESERTA,97455.0,00750614,0.0,282/15,esito-01ottobre15.pdf,,
MILANO VIA ENRICO DE NICOLA '8,1 Ottobre 2015,ASTA DESERTA,114975.0,00750835,0.0,283/15,esito-01ottobre15.pdf,,
00985055 ROZZANO VIALE LAZIO '21,1 Ottobre 2015,ASTA DESERTA,90134.0,00980055,0.0,284/15,esito-01ottobre15.pdf,,
00985408 ROZZANO VIALE LAZIO '76,1 Ottobre 2015,ASTA DESERTA,106243.0,00980411,0.0,285/15,esito-01ottobre15.pdf,,
MILANO VIA DEGLI ANEMONI '3,1 Ottobre 2015,AGGIUDICATA,96390.0,01120024,127000.0,286/15,esito-01ottobre15.pdf,,G.A.
SESTO SAN GIOVANNI VIA GIUSEPPE ROVANI '311,1 Ottobre 2015,ASTA DESERTA,49392.0,02020181,0.0,287/15,esito-01ottobre15.pdf,,
SESTO SAN GIOVANNI VIA FRATELLI BANDIERA '200 A,1 Ottobre 2015,ASTA DESERTA,72576.0,02020300,0.0,288/15,esito-01ottobre15.pdf,,
SESTO SAN GIOVANNI VIA FRATELLI BANDIERA '200 B,1 Ottobre 2015,ASTA DESERTA,52360.0,02020311,0.0,289/15,esito-01ottobre15.pdf,,
SESTO SAN GIOVANNI VIA MODENA '2,1 Ottobre 2015,AGGIUDICATA,73206.0,02050061,93160.0,290/15,esito-01ottobre15.pdf,,V.L.
LEGNANO VIA PADRE REGINALDO GIULIANI '40,1 Ottobre 2015,ASTA DESERTA,38254.0,02070078,0.0,291/15,esito-01ottobre15.pdf,,
LEGNANO VIA BRENNERO '6 A,1 Ottobre 2015,ASTA DESERTA,39362.0,02070138,0.0,292/15,esito-01ottobre15.pdf,,
