base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,source_url,street_number,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,auction_date,surface_sqm,data_source,latitude,longitude
,,,,,,003/19,,,,,,,AGGIUDICATA,48450.0,341238.0,62500.0,esito-21febbraio19.pdf,O.S.,MILANO VIA FILIPPO ABBIATI '5,21 Febbraio 2019,,pdf_only,45.4721247,9.1401946
,,,,,,003/21,,,,,,,AGGIUDICATA,77330.0,410429.0,150216.0,esito-18febbraio2021.pdf,C.A.-.A.,MILANO VIA ILLIRICO '1,18 Febbraio 2021,,pdf_only,45.4693088,9.232309
,,,,,,003/22,,,,,,,AGGIUDICATA,74518.0,410584.0,172760.0,esito-17febbraio2022.pdf,P.I.-.V.P.,MILANO VIA ILLIRICO '3 B,17 Febbraio 2022,,pdf_only,45.4697051,9.2324398
,,,,,,003/23,,,,,,,AGGIUDICATA,87278.0,551404.0,166784.0,esito-9marzo2023.pdf,M.C.,MILANO VIALE UNGHERIA '2,9 Marzo 2023,,pdf_only,45.4454916,9.242027
,,,,,,003/24,,,,,,,STRALCIATO,99280.0,230850.0,0.0,esito-15febbraio2024.pdf,,MILANO PIAZZA PREALPI '4,15 Febbraio 2024,73.0,pdf_only,45.4953597,9.1535242
,,,,,,003/25,,,,,,,AGGIUDICATA,131391.0,551547.0,182000.0,esito-13febbraio2025.pdf,T.P.-.M.A.A.C.,MILANO VIALE UNGHERIA '4,13 Febbraio 2025,73.0,pdf_only,45.4455094,9.2429598
,,,,,,003/26,,,,,,,AGGIUDICATA,159600.0,390223.0,175000.0,esito-12febbraio2026.pdf,H.H.N.N.,MILANO PIAZZALE SELINUNTE '11,12 Febbraio 2026,70.0,pdf_only,45.47256,9.1370237
,,,,,,004/15,,,,,,,ASTA DESERTA,89760.0,230196.0,0.0,esito-18febbraio15.pdf,,MILANO VIA BRAMANTINO '3,18 Febbraio 2015,,pdf_only,45.4964862,9.1511451
,,,,,,004/16,,,,,,,ASTA DESERTA,29376.0,342699.0,0.0,esito-11febbraio16.pdf,,MILANO VIA GIACINTO GIGANTE '5,11 Febbraio 2016,,pdf_only,45.4713523,9.1384736
,,,,,,004/17,,,,,,,AGGIUDICATA,56848.0,310429.0,121273.0,esito-08marzo17.pdf,C.S.,MILANO VIALE ARGONNE '35,8 Marzo 2017,,pdf_only,45.4684983,9.2278383
74592.0,UOG3,MILANO,G,False,,004/18,,ALLOGGIO,3.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,4,AGGIUDICATA,74592.0,510823.0,82000.0,esito-08marzo18.pdf,L.C.,PIAZZA PIETRO GASPARRI,08 Marzo 2018,74.0,wayback,45.5258026,9.164304999999999
,,,,,,004/19,,,,,,,AGGIUDICATA,72128.0,410195.0,121200.0,esito-21febbraio19.pdf,P.L.,MILANO VIA DALMAZIO BIRAGO '4,21 Febbraio 2019,,pdf_only,45.4697643,9.231295
,,,,,,004/21,,,,,,,AGGIUDICATA,78100.0,551114.0,116500.0,esito-18febbraio2021.pdf,R.L.M.K.,MILANO VIA ORESTE SALOMONE '91 A,18 Febbraio 2021,,pdf_only,45.4453703,9.2414046
,,,,,,004/22,,,,,,,AGGIUDICATA,117806.0,460410.0,210000.0,esito-17febbraio2022.pdf,H.X.,MILANO VIA JACOPINO DA TRADATE '7,17 Febbraio 2022,,pdf_only,45.4966727,9.1496627
,,,,,,004/23,,,,,,,AGGIUDICATA,85120.0,620402.0,133770.0,esito-9marzo2023.pdf,M.A.H.M.,MILANO VIA CONCILIO VATICANO II '2,9 Marzo 2023,,pdf_only,45.5127581,9.1475663
,,,,,,004/24,,,,,,,AGGIUDICATA,97708.0,410150.0,222222.0,esito-15febbraio2024.pdf,G.S.,MILANO VIA DALMAZIO BIRAGO '4,15 Febbraio 2024,55.0,pdf_only,45.4697643,9.231295
,,,,,,004/25,,,,,,,AGGIUDICATA,136791.0,553618.0,183666.0,esito-13febbraio2025.pdf,A.M.F.M.-.O.-.M.M.A.,MILANO VIA ROMUALDO BONFADINI '94,13 Febbraio 2025,76.0,pdf_only,45.4443436,9.2427844
,,,,,,004/26,,,,,,,AGGIUDICATA,129058.0,410587.0,232500.0,esito-12febbraio2026.pdf,C.V.,MILANO VIA ILLIRICO '3,12 Febbraio 2026,55.0,pdf_only,45.4693581,9.2323084
,,,,,,005/15,,,,,,,AGGIUDICATA,77088.0,230486.0,77221.0,esito-18febbraio15.pdf,P.A.,MILANO VIA JACOPINO DA TRADATE '8,18 Febbraio 2015,,pdf_only,45.4966727,9.1496627
,,,,,,005/16,,,,,,,AGGIUDICATA,47002.0,342843.0,55110.0,esito-11febbraio16.pdf,L.N.A.A.,MILANO VIA DANIELE RICCIARELLI '12,11 Febbraio 2016,,pdf_only,45.4690256,9.1376778
,,,,,,005/17,,,,,,,ASTA DESERTA,48742.0,343544.0,0.0,esito-08marzo17.pdf,,MILANO PIAZZALE SELINUNTE '4,8 Marzo 2017,,pdf_only,45.4721428,9.1382315
93744.0,UOG3,MILANO,G,True,,005/18,,ALLOGGIO,3.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,57,AGGIUDICATA,93744.0,511202.0,138980.0,esito-08marzo18.pdf,J.Y.,VIA COMASINA,08 Marzo 2018,93.0,wayback,45.5274963,9.162652399999999
,,,,,,005/19,,,,,,,AGGIUDICATA,94563.0,480022.0,180210.0,esito-21febbraio19.pdf,C.S.,MILANO VIA MEDEGHINO '24,21 Febbraio 2019,,pdf_only,45.4314808,9.1801371
,,,,,,005/21,,,,,,,AGGIUDICATA,96800.0,551216.0,182000.0,esito-18febbraio2021.pdf,H.M.F.M.,MILANO VIA ORESTE SALOMONE '91 B,18 Febbraio 2021,,pdf_only,45.4471527,9.2414292
,,,,,,005/22,,,,,,,AGGIUDICATA,64904.0,470486.0,91000.0,esito-17febbraio2022.pdf,S.N.A.A.,MILANO VIALE OMERO '19,17 Febbraio 2022,,pdf_only,45.4331057,9.2246652
