address,auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm
VIA ROMUALDO BONFADINI,01 febbraio 2018,71280.0,UOG4,MILANO,G,True,,323/17,,ALLOGGIO,3,20180110020919.html,94,72.0
VIA LUIGI SORDELLO,01 febbraio 2018,73260.0,UOG4,MILANO,G,True,,324/17,,ALLOGGIO,3,20180110020919.html,10,74.0
VIA ROMUALDO BONFADINI,01 febbraio 2018,60390.0,UOG4,MILANO,G,True,,325/17,,ALLOGGIO,2,20180110020919.html,98,61.0
VIA DEI SALICI,01 febbraio 2018,93177.0,UOG2,MILANO,G,True,,326/17,,ALLOGGIO,3,20180110020919.html,41,87.0
VIA DEI SALICI,01 febbraio 2018,109242.0,UOG2,MILANO,G,True,,327/17,,ALLOGGIO,4,20180110020919.html,75,102.0
VIA BETULLE,01 febbraio 2018,84320.0,UOGR,ROZZANO,G,True,,328/17,,ALLOGGIO,3,20180110020919.html,4,85.0
VIA LILLA',01 febbraio 2018,84320.0,UOGR,ROZZANO,G,True,,329/17,,ALLOGGIO,3,20180110020919.html,3,85.0
VIA FILIPPO DE PISIS,01 febbraio 2018,59119.0,UOG3,MILANO,G,True,,330/17,,ALLOGGIO,2,20180110020919.html,37,69.0
VIA FILIPPO DE PISIS,01 febbraio 2018,69401.0,UOG3,MILANO,G,True,,331/17,,ALLOGGIO,3,20180110020919.html,39,81.0
VIA FILIPPO DE PISIS,01 febbraio 2018,57406.0,UOG3,MILANO,G,True,,332/17,,ALLOGGIO,2,20180110020919.html,45,67.0
VIA EUGENIO CURIEL,01 febbraio 2018,62286.0,UOGR,CORSICO,G,True,A,333/17,,ALLOGGIO,2,20180110020919.html,25,69.0
VIA EUGENIO CURIEL,01 febbraio 2018,62286.0,UOGR,CORSICO,G,True,B,334/17,,ALLOGGIO,2,20180110020919.html,25,69.0
VIA AGOSTINO DE PRETIS,01 febbraio 2018,125528.0,UOG1,MILANO,D,True,,335/17,,ALLOGGIO,4,20180110020919.html,1,104.0
VIA AGOSTINO DE PRETIS,01 febbraio 2018,84490.0,UOG1,MILANO,D,True,,336/17,,ALLOGGIO,2,20180110020919.html,9,70.0
VIA DEGLI ANEMONI,01 febbraio 2018,59405.0,UOG2,MILANO,F,True,,337/17,,ALLOGGIO,2,20180110020919.html,1,52.0
VIA DEGLI ANEMONI,01 febbraio 2018,99389.0,UOG2,MILANO,F,True,,338/17,,ALLOGGIO,3,20180110020919.html,5,87.0
VIA MAC MAHON,01 febbraio 2018,62832.0,UOG3,MILANO,G,True,,339/17,,ALLOGGIO,2,20180110020919.html,107,66.0
VIA PADRE REGINALDO GIULIANI,01 febbraio 2018,33768.0,UOGR,LEGNANO,SENZA IMPIANTO,False,A,340/17,,ALLOGGIO,2,20180110020919.html,42,67.0
VIA PADRE REGINALDO GIULIANI,01 febbraio 2018,32760.0,UOGR,LEGNANO,SENZA IMPIANTO,False,B,341/17,,ALLOGGIO,2,20180110020919.html,42,65.0
VIA PADRE REGINALDO GIULIANI,01 febbraio 2018,43344.0,UOGR,LEGNANO,SENZA IMPIANTO,False,,342/17,,ALLOGGIO,3,20180110020919.html,40,86.0
VIA GIACOMO LEOPARDI,01 febbraio 2018,95948.0,UOGS,SESTO SAN GIOVANNI,G,False,,343/17,,ALLOGGIO,3,20180110020919.html,109,83.0
VIA GUGLIELMO MARCONI,01 febbraio 2018,43718.0,UOGR,BINASCO,SENZA IMPIANTO,False,A,344/17,,ALLOGGIO,2,20180110020919.html,29,69.0
VIA GUGLIELMO MARCONI,01 febbraio 2018,61776.0,UOGR,BINASCO,SENZA IMPIANTO,False,B,345/17,,ALLOGGIO,4,20180110020919.html,29,104.0
VIA GUGLIELMO MARCONI,01 febbraio 2018,45144.0,UOGR,BINASCO,SENZA IMPIANTO,False,C,346/17,,ALLOGGIO,2,20180110020919.html,29,76.0
VIA CALATAFIMI,01 febbraio 2018,218478.0,UOG1,MILANO,G,True,,347/17,,ALLOGGIO,3,20180110020919.html,15,88.0
VIA NEGROLI,01 febbraio 2018,162792.0,UOG4,MILANO,G,True,,348/17,,ALLOGGIO,4,20180110020919.html,23,133.0
VIA CLAUDIO TREVES,01 febbraio 2018,38114.0,UOGR,TREZZANO SUL NAVIGLIO,E,True,,349/17,,ALLOGGIO,2,20180110020919.html,38,59.0
VIA LONGARONE,01 febbraio 2018,104040.0,UOG3,MILANO,G,True,,350/17,,ALLOGGIO,4,20180110020919.html,16,102.0
VIA LONGARONE,01 febbraio 2018,132600.0,UOG3,MILANO,G,True,,351/17,,ALLOGGIO,4,20180110020919.html,18,130.0
VIA LUIGI CHIARELLI,01 febbraio 2018,105655.0,UOG3,MILANO,G,True,,352/17,,ALLOGGIO,4,20180110020919.html,8,113.0
VIA FORLI',01 febbraio 2018,59670.0,UOGS,SESTO SAN GIOVANNI,G,False,,353/17,,ALLOGGIO,2,20180110020919.html,74,65.0
VIA BELTRAME CRISTIANI,01 febbraio 2018,139991.0,UOG3,MILANO,F,True,,354/17,,ALLOGGIO,4,20180110020919.html,1,111.0
VIA BELTRAME CRISTIANI,01 febbraio 2018,139991.0,UOG3,MILANO,NO,False,,354/17,,AUTOBOX,0,20180110020919.html,1,13.0
VIA RAFFAELLO GIOLLI,01 febbraio 2018,167575.0,UOG3,MILANO,G,True,,355/17,,ALLOGGIO,4,20180110020919.html,25,134.0
VIA RAFFAELLO GIOLLI,01 febbraio 2018,167575.0,UOG3,MILANO,NO,False,,355/17,,AUTOBOX,0,20180110020919.html,25,14.0
VIA RAFFAELLO GIOLLI,01 febbraio 2018,161762.0,UOG3,MILANO,G,True,,356/17,,ALLOGGIO,4,20180110020919.html,24,129.0
VIALE GIOVANNI SUZZANI,01 febbraio 2018,161762.0,UOG3,MILANO,NO,False,,356/17,,AUTOBOX,0,20180110020919.html,294,14.0
VIA PATERNO',01 febbraio 2018,142963.0,UOG1,MILANO,G,True,,357/17,,ALLOGGIO,5,20180110020919.html,7,138.0
VIA PATERNO',01 febbraio 2018,142963.0,UOG1,MILANO,NO,False,,357/17,,AUTOBOX,0,20180110020919.html,7,12.0
VIA GIUSEPPE DI VITTORIO,01 febbraio 2018,93568.0,UOGR,LOCATE DI TRIULZI,G,True,,358/17,,ALLOGGIO,4,20180110020919.html,19.H,100.0
VIA GIACINTO SERRATI MENOTTI,01 febbraio 2018,104550.0,UOG4,MILANO,G,True,,359/17,,ALLOGGIO,4,20180110020919.html,29,123.0
VIA VAL MALENCO,01 febbraio 2018,90780.0,UOG3,MILANO,G,False,A,360/17,,ALLOGGIO,3,20180110020919.html,2,89.0
VIA VAL MALENCO,01 febbraio 2018,89760.0,UOG3,MILANO,G,False,B,361/17,,ALLOGGIO,3,20180110020919.html,2,88.0
VIA SEM BENELLI,01 febbraio 2018,81345.0,UOG3,MILANO,G,False,,362/17,,ALLOGGIO,3,20180110020919.html,16,87.0
VIA URUGUAY,01 febbraio 2018,104720.0,UOG3,MILANO,G,True,,363/17,,ALLOGGIO,4,20180110020919.html,32,112.0
VIA DOMENICO CUCCHIARI,21 gennaio 2021,104400.0,UOG3,MILANO,F,False,,190/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'12,60.0
VIA GASPARE ASELLI,21 gennaio 2021,101584.0,UOG4,MILANO,G,False,A,191/20,PIENA PROP.,ALLOGGIO,3,20210105111556.html,'6,68.0
