address,auction_result,base_price_eur,codice,final_offer_eur,lot_id,source_pdf,winner
MILANO VIA DALMAZIO BIRAGO '4 B,ASTA DESERTA,60622.0,00410208,0.0,260/15,esito-01ottobre15.pdf,
MILANO VIA DALMAZIO BIRAGO '4 C,AGGIUDICATA,65197.0,00410213,70300.0,261/15,esito-01ottobre15.pdf,A.A.
MILANO VIA ANGELO INGANNI '52,AGGIUDICATA,65772.0,00433605,81000.0,262/15,esito-01ottobre15.pdf,B.R.
MILANO VIA COMASINA '57 A,AGGIUDICATA,45247.0,00510055,56188.0,263/15,esito-01ottobre15.pdf,Y.N.
MILANO VIA COMASINA '57 B,AGGIUDICATA,42072.0,00510094,50000.0,264/15,esito-01ottobre15.pdf,V.A.
MILANO VIA TEANO '36,AGGIUDICATA,52038.0,00510288,55660.0,265/15,esito-01ottobre15.pdf,R.C.M.
MILANO VIA SANTUARIO DEL SACRO CUORE '3,AGGIUDICATA,48510.0,00510582,51110.0,266/15,esito-01ottobre15.pdf,G.F.
MILANO VIALE UNGHERIA '2,AGGIUDICATA,63612.0,00551377,75005.0,267/15,esito-01ottobre15.pdf,G.N.
MILANO VIA LUIGI SORDELLO '10,AGGIUDICATA,53010.0,00551927,66530.0,268/15,esito-01ottobre15.pdf,D.F.F.
MILANO VIA CONCILIO VATICANO II '10 A,ASTA DESERTA,59486.0,00620766,0.0,269/15,esito-01ottobre15.pdf,
MILANO VIA CONCILIO VATICANO II '10 B,AGGIUDICATA,57008.0,00620770,60111.0,270/15,esito-01ottobre15.pdf,A.A.
MILANO VIA DEGLI ONTANI '44,ASTA DESERTA,85140.0,00650158,0.0,271/15,esito-01ottobre15.pdf,
MILANO VIA DEI SALICI '59,AGGIUDICATA,72819.0,00650503,80501.0,272/15,esito-01ottobre15.pdf,A.G.
MILANO VIA COSTANTINO BARONI '75,AGGIUDICATA,71971.0,00663815,77770.0,273/15,esito-01ottobre15.pdf,S.Y.
MILANO VIA ALESSANDRO LITTA MODIGNANI '113,ASTA DESERTA,74970.0,00690134,0.0,274/15,esito-01ottobre15.pdf,
MILANO VIA ALESSANDRO LITTA MODIGNANI '103,AGGIUDICATA,76734.0,00690333,0.0,275/15,esito-01ottobre15.pdf,N.O.
MILANO VIA ALESSANDRO LITTA MODIGNANI '115,AGGIUDICATA,90846.0,00690500,91100.0,276/15,esito-01ottobre15.pdf,P.E.
MILANO VIA FILIPPO DE PISIS '27,ASTA DESERTA,52751.0,00700805,0.0,277/15,esito-01ottobre15.pdf,
MILANO VIA GIACOMO QUARENGHI '43,AGGIUDICATA,87360.0,00722652,131600.0,278/15,esito-01ottobre15.pdf,O.T.A.
CORSICO VIALE ITALIA '34,AGGIUDICATA,64109.0,00741287,64600.0,279/15,esito-01ottobre15.pdf,F.V.-.F.G.
CORSICO VIA MARZABOTTO '20,ASTA DESERTA,64109.0,00741880,0.0,280/15,esito-01ottobre15.pdf,
CORSICO VIA BENVENUTO CELLINI '12,AGGIUDICATA,69451.0,00742062,75100.0,281/15,esito-01ottobre15.pdf,I.G.
MILANO VIA AGOSTINO DE PRETIS '51,ASTA DESERTA,97455.0,00750614,0.0,282/15,esito-01ottobre15.pdf,
MILANO VIA ENRICO DE NICOLA '8,ASTA DESERTA,114975.0,00750835,0.0,283/15,esito-01ottobre15.pdf,
00985055 ROZZANO VIALE LAZIO '21,ASTA DESERTA,90134.0,00980055,0.0,284/15,esito-01ottobre15.pdf,
00985408 ROZZANO VIALE LAZIO '76,ASTA DESERTA,106243.0,00980411,0.0,285/15,esito-01ottobre15.pdf,
MILANO VIA DEGLI ANEMONI '3,AGGIUDICATA,96390.0,01120024,127000.0,286/15,esito-01ottobre15.pdf,G.A.
SESTO SAN GIOVANNI VIA GIUSEPPE ROVANI '311,ASTA DESERTA,49392.0,02020181,0.0,287/15,esito-01ottobre15.pdf,
SESTO SAN GIOVANNI VIA FRATELLI BANDIERA '200 A,ASTA DESERTA,72576.0,02020300,0.0,288/15,esito-01ottobre15.pdf,
SESTO SAN GIOVANNI VIA FRATELLI BANDIERA '200 B,ASTA DESERTA,52360.0,02020311,0.0,289/15,esito-01ottobre15.pdf,
SESTO SAN GIOVANNI VIA MODENA '2,AGGIUDICATA,73206.0,02050061,93160.0,290/15,esito-01ottobre15.pdf,V.L.
LEGNANO VIA PADRE REGINALDO GIULIANI '40,ASTA DESERTA,38254.0,02070078,0.0,291/15,esito-01ottobre15.pdf,
LEGNANO VIA BRENNERO '6 A,ASTA DESERTA,39362.0,02070138,0.0,292/15,esito-01ottobre15.pdf,
LEGNANO VIA BRENNERO '6 B,ASTA DESERTA,32710.0,02070153,0.0,293/15,esito-01ottobre15.pdf,
LEGNANO VIA BRENNERO '6 C,ASTA DESERTA,44352.0,02070154,0.0,294/15,esito-01ottobre15.pdf,
LEGNANO VIA BRENNERO '6 D,ASTA DESERTA,42134.0,02070184,0.0,295/15,esito-01ottobre15.pdf,
MAGENTA VIA SAN GIROLAMO EMILIANI '16,ASTA DESERTA,50425.0,03210014,0.0,296/15,esito-01ottobre15.pdf,
NERVIANO VIALE JOHN FITZGERALD KENNEDY '45,ASTA DESERTA,50732.0,03440006,0.0,297/15,esito-01ottobre15.pdf,
MILANO VIA CASCINA CORBA '98,AGGIUDICATA,88740.0,09070142,126250.0,298/15,esito-01ottobre15.pdf,C.R.A.
GORGONZOLA VIA DEI TIGLI '12 A,ASTA DESERTA,86940.0,70180023,0.0,299/15,esito-01ottobre15.pdf,
GORGONZOLA VIA DEI TIGLI '12 B,ASTA DESERTA,74088.0,70180038,0.0,300/15,esito-01ottobre15.pdf,
RHO VIA ANTONIO GRAMSCI '51,ASTA DESERTA,85190.0,70370007,0.0,301/15,esito-01ottobre15.pdf,
PADERNO DUGNANO VIA AURORA '12,AGGIUDICATA,53428.0,70410010,60100.0,302/15,esito-01ottobre15.pdf,S.E.
GARBAGNATE MILANE VIA TICINO '8,ASTA DESERTA,67105.0,70840009,0.0,303/15,esito-01ottobre15.pdf,
71025302 MILANO VIA CAMILLO GIUSSANI '20 A,ASTA DESERTA,142823.0,71020302,0.0,304/15,esito-01ottobre15.pdf,
71025319 MILANO VIA CAMILLO GIUSSANI '20 B,AGGIUDICATA,142823.0,71020308,143250.0,305/15,esito-01ottobre15.pdf,C.G.A.
71025646 MILANO VIA PATERNO' '13,AGGIUDICATA,115672.0,71020846,116000.0,306/15,esito-01ottobre15.pdf,M.R.V.
71035709 MILANO VIA LUCCA '58,AGGIUDICATA,121896.0,71031017,146100.0,307/15,esito-01ottobre15.pdf,A.C.
71035751 MILANO VIA LUCCA '46,AGGIUDICATA,120808.0,71031132,0.0,308/15,esito-01ottobre15.pdf,N.O.
71285055 CANEGRATE VIA BOLOGNA '15,ASTA DESERTA,57538.0,71280106,0.0,309/15,esito-01ottobre15.pdf,
PIOLTELLO VIA GALILEO GALILEI '49,ASTA DESERTA,58968.0,71460076,0.0,310/15,esito-01ottobre15.pdf,
MILANO VIA DESSIE' '15,AGGIUDICATA,55404.0,93240013,61700.0,311/15,esito-01ottobre15.pdf,P.S.
MILANO VIA VAL LAGARINA '34,ASTA DESERTA,68539.0,96120401,0.0,312/15,esito-01ottobre15.pdf,
CORBETTA VIA TRENTO '23,ASTA DESERTA,69165.0,99610009,0.0,313/15,esito-01ottobre15.pdf,
MILANO VIA GIOVANNI PASCOLI '2,AGGIUDICATA,87912.0,00160047,271555.6,228/19,esito-25luglio19.pdf,C.D.
MILANO VIA GIOVANNI AMBROGIO DE PREDIS '7,AGGIUDICATA,70080.0,00230377,144018.0,229/19,esito-25luglio19.pdf,D.P.
MILANO VIA GIULIO BELINZAGHI '6,AGGIUDICATA,59126.0,00240033,151000.0,230/19,esito-25luglio19.pdf,R.E.
MILANO PIAZZALE SELINUNTE '11,AGGIUDICATA,59568.0,00390199,142100.0,231/19,esito-25luglio19.pdf,H.I.S.
MILANO VIA DALMAZIO BIRAGO '4,AGGIUDICATA,62146.0,00410165,146150.0,232/19,esito-25luglio19.pdf,P.A.
MILANO VIA DALMAZIO BIRAGO '4,AGGIUDICATA,74799.0,00410171,156990.0,233/19,esito-25luglio19.pdf,Q.Y.
MILANO VIA LORENTEGGIO '203,AGGIUDICATA,80028.0,00433872,122630.0,234/19,esito-25luglio19.pdf,C.V.
MILANO PIAZZA CARDINALE PIETRO GASPARRI '4,AGGIUDICATA,69632.0,00510882,111000.0,235/19,esito-25luglio19.pdf,S.G.
MILANO VIA GIACOMO QUARENGHI '34,AGGIUDICATA,60480.0,00571772,141188.0,236/19,esito-25luglio19.pdf,L.Y.H.C.
MILANO VIA DEI SALICI '79,AGGIUDICATA,87774.0,00650666,121000.0,237/19,esito-25luglio19.pdf,E.Y.G.I.
CESANO BOSCONE VIA DEI SALICI '25,AGGIUDICATA,87774.0,00650966,121360.0,238/19,esito-25luglio19.pdf,B.T.A.M.
MILANO VIA COSTANTINO BARONI '238,AGGIUDICATA,73908.0,00661885,110000.0,239/19,esito-25luglio19.pdf,R.S.G.A.
MILANO VIA COSTANTINO BARONI '79,AGGIUDICATA,73226.0,00663846,112880.0,240/19,esito-25luglio19.pdf,Z.R.A.G.S.
ROZZANO VIA FIORDALISI '1,ASTA DESERTA,94263.0,00670469,0.0,241/19,esito-25luglio19.pdf,
ROZZANO VIA FIORDALISI '3,ASTA DESERTA,79330.0,00670493,0.0,242/19,esito-25luglio19.pdf,
MILANO VIA ALESSANDRO LITTA MODIGNANI '93,AGGIUDICATA,109888.0,00690020,160000.0,243/19,esito-25luglio19.pdf,Y.Y.
MILANO VIA ALESSANDRO LITTA MODIGNANI '111,AGGIUDICATA,97920.0,00690108,145200.0,244/19,esito-25luglio19.pdf,P.Q.
MILANO VIA APPENNINI '71,AGGIUDICATA,73872.0,00721730,136000.0,245/19,esito-25luglio19.pdf,B.Z.
CORSICO VIA EUGENIO CURIEL '12,AGGIUDICATA,78997.0,00740742,83120.0,246/19,esito-25luglio19.pdf,M.R.G.
CORSICO VIA MARZABOTTO '10,AGGIUDICATA,52760.0,00741499,65180.0,247/19,esito-25luglio19.pdf,Z.M.Q.
MILANO VIA ENRICO DE NICOLA '24,AGGIUDICATA,97152.0,00750040,135100.0,248/19,esito-25luglio19.pdf,W.B.T.A.
MILANO VIA AGOSTINO DE PRETIS '11,AGGIUDICATA,79488.0,00750294,110200.0,249/19,esito-25luglio19.pdf,M.H.S.H.
MILANO VIA AGOSTINO DE PRETIS '99,AGGIUDICATA,72864.0,00750379,76500.0,250/19,esito-25luglio19.pdf,S.T.
MILANO VIA AGOSTINO DE PRETIS '59,AGGIUDICATA,92736.0,00750672,124000.0,251/19,esito-25luglio19.pdf,G.R.T.R.
00985034 ROZZANO VIALE LAZIO '19,AGGIUDICATA,103927.0,00980034,111200.0,252/19,esito-25luglio19.pdf,D.S.
00985129 ROZZANO VIALE LAZIO '24,ASTA DESERTA,86471.0,00980119,0.0,253/19,esito-25luglio19.pdf,
MILANO VIA DELLE GENZIANE '3,AGGIUDICATA,95521.0,09010012,181100.0,254/19,esito-25luglio19.pdf,F.D.
MILANO VIA ADOLFO OMODEO '23/2,AGGIUDICATA,89964.0,09020202,188888.0,255/19,esito-25luglio19.pdf,Q.X.
SAN DONATO MILANE VIA ANGELO MORO '27.D A,AGGIUDICATA,67703.0,16540094,75000.0,256/19,esito-25luglio19.pdf,P.G.
70592610 MILANO VIA RAFFAELLO GIOLLI '23,AGGIUDICATA,195043.0,70590610,292000.0,257/19,esito-25luglio19.pdf,W.X.
MILANO VIA OSTENO '4,ASTA DESERTA,95304.0,92630066,0.0,258/19,esito-25luglio19.pdf,
MILANO VIA URUGUAY '32,AGGIUDICATA,78948.0,99350104,166100.0,259/19,esito-25luglio19.pdf,W.L.
MILANO VIA GIOVANNI PASCOLI '2,AGGIUDICATA,87912.0,00160088,235000.0,001/19,esito-21febbraio19.pdf,C.A.I.
MILANO VIA JACOPINO DA TRADATE '8,AGGIUDICATA,107520.0,00230558,150100.0,002/19,esito-21febbraio19.pdf,P.P.
MILANO VIA FILIPPO ABBIATI '5,AGGIUDICATA,48450.0,00341238,62500.0,003/19,esito-21febbraio19.pdf,O.S.
MILANO VIA DALMAZIO BIRAGO '4,AGGIUDICATA,72128.0,00410195,121200.0,004/19,esito-21febbraio19.pdf,P.L.
MILANO VIA MEDEGHINO '24,AGGIUDICATA,94563.0,00480022,180210.0,005/19,esito-21febbraio19.pdf,C.S.
MILANO VIA ORBETELLO '2,AGGIUDICATA,58464.0,00500170,91000.0,006/19,esito-21febbraio19.pdf,T.B.K.F.
MILANO VIA TEANO '36,AGGIUDICATA,60416.0,00510284,83000.0,007/19,esito-21febbraio19.pdf,K.K.
MILANO VIA ESCULAPIO '4 A,AGGIUDICATA,80896.0,00510544,116800.0,008/19,esito-21febbraio19.pdf,L.A.
MILANO VIA ESCULAPIO '4 B,AGGIUDICATA,67584.0,00510783,101100.0,009/19,esito-21febbraio19.pdf,P.M.
MILANO VIA ROMUALDO BONFADINI '98,AGGIUDICATA,55991.0,00553251,75385.0,010/19,esito-21febbraio19.pdf,C.G.
MILANO VIA CONCILIO VATICANO II '4,AGGIUDICATA,60032.0,00620232,0.0,011/19,esito-21febbraio19.pdf,N.O.
MILANO VIA DEI SALICI '79,ASTA DESERTA,97527.0,00650666,0.0,012/19,esito-21febbraio19.pdf,
CESANO BOSCONE VIA DEI SALICI '25,AGGIUDICATA,97527.0,00650966,0.0,013/19,esito-21febbraio19.pdf,N.O.
MILANO VIA DEI LARICI '36,AGGIUDICATA,98648.0,00651629,116000.0,014/19,esito-21febbraio19.pdf,A.H.M.Y.
MILANO VIA COSTANTINO BARONI '236,AGGIUDICATA,41664.0,00661867,67500.0,015/19,esito-21febbraio19.pdf,T.K.
MILANO VIA MICHELE SAPONARO '38,AGGIUDICATA,104481.0,00667429,145000.0,016/19,esito-21febbraio19.pdf,T.G.
ROZZANO VIA LILLA' '1,ASTA DESERTA,117059.0,00673851,0.0,017/19,esito-21febbraio19.pdf,
MILANO VIA UGO BETTI '163,AGGIUDICATA,78030.0,00680990,156700.0,018/19,esito-21febbraio19.pdf,V.M.
MILANO VIA ALESSANDRO LITTA MODIGNANI '103,AGGIUDICATA,69632.0,00690327,100100.0,019/19,esito-21febbraio19.pdf,P.S.
MILANO VIA ARTURO GRAF '56,AGGIUDICATA,66931.0,00700494,102360.0,020/19,esito-21febbraio19.pdf,A.T.I.M.
MILANO VIA APPENNINI '69,AGGIUDICATA,80784.0,00721716,148000.0,021/19,esito-21febbraio19.pdf,Z.N.
CORSICO VIA EUGENIO CURIEL '6,AGGIUDICATA,60322.0,00740603,76550.0,022/19,esito-21febbraio19.pdf,M.L.F.E.
CORSICO VIA EUGENIO CURIEL '12,ASTA DESERTA,87774.0,00740742,0.0,023/19,esito-21febbraio19.pdf,
CORSICO VIA EUGENIO CURIEL '40,AGGIUDICATA,71366.0,00741024,87500.0,024/19,esito-21febbraio19.pdf,A.A.M.M.
CORSICO VIA EUGENIO CURIEL '38,AGGIUDICATA,87774.0,00741056,100500.0,025/19,esito-21febbraio19.pdf,E.N.
CORSICO VIA MARZABOTTO '26,AGGIUDICATA,58622.0,00741921,64000.0,026/19,esito-21febbraio19.pdf,T.N.M.J.
MILANO VIA ENRICO DE NICOLA '32,AGGIUDICATA,94944.0,00750105,128650.0,027/19,esito-21febbraio19.pdf,N.K.N.M.
MILANO VIA AGOSTINO DE PRETIS '109,AGGIUDICATA,93840.0,00750451,126500.0,028/19,esito-21febbraio19.pdf,A.S.S.S.
MILANO VIA ENRICO DE NICOLA '8,AGGIUDICATA,97152.0,00750844,125000.0,029/19,esito-21febbraio19.pdf,B.H.B.E.
MILANO VIA AGOSTINO DE PRETIS '77,AGGIUDICATA,94944.0,00751093,102700.0,030/19,esito-21febbraio19.pdf,A.D.-.A.A.
SESTO SAN GIOVANNI VIA GIUSEPPE ROVANI '317,AGGIUDICATA,85120.0,02380086,110000.0,031/19,esito-21febbraio19.pdf,T.E.S.G.
BINASCO VIA GUGLIELMO MARCONI '29 A,ASTA DESERTA,57684.0,02430035,0.0,032/19,esito-21febbraio19.pdf,
BINASCO VIA GUGLIELMO MARCONI '29 B,ASTA DESERTA,86944.0,02430049,0.0,033/19,esito-21febbraio19.pdf,
SESTO SAN GIOVANNI VIA CATANIA '40 A,AGGIUDICATA,78624.0,03170025,81000.0,034/19,esito-21febbraio19.pdf,S.D.
SESTO SAN GIOVANNI VIA CATANIA '40 B,AGGIUDICATA,73195.0,03170035,84238.0,035/19,esito-21febbraio19.pdf,S.V.L.J.
SESTO SAN GIOVANNI VIA CATANIA '50 A,AGGIUDICATA,73195.0,03170039,89660.0,036/19,esito-21febbraio19.pdf,I.A.R.A.-.A.I.A.R.
SESTO SAN GIOVANNI VIA CATANIA '50 B,AGGIUDICATA,55411.0,03170050,69150.0,037/19,esito-21febbraio19.pdf,M.A.D.
SESTO SAN GIOVANNI VIA CATANIA '50 C,AGGIUDICATA,55411.0,03170052,71740.0,038/19,esito-21febbraio19.pdf,B.M.S.
SESTO SAN GIOVANNI VIA CATANIA '50 D,AGGIUDICATA,73195.0,03170054,73500.0,039/19,esito-21febbraio19.pdf,S.A.W.F.-.F.S.M.W.
SAN DONATO MILANE VIA ANGELO MORO '27.D A,AGGIUDICATA,75226.0,16540094,0.0,040/19,esito-21febbraio19.pdf,N.O.
SAN DONATO MILANE VIA ANGELO MORO '27.D B,AGGIUDICATA,101714.0,16540096,102000.0,041/19,esito-21febbraio19.pdf,D.T.F.
