auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,lat,lng,zone_id,price_disparity,base_price_per_sqm,final_base_price_eur
20 Maggio 2021,99506.0,UOG3,MILANO,F,True,,092/21,PIENA PROP.,ALLOGGIO,3.0,20210512011249.html,'91,87.0,AGGIUDICATA,99506.0,690073.0,155100.0,esito-20maggio2021.pdf,W.X.L.,VIA ALESSANDRO LITTA MODIGNANI,45.5208834,9.1530704,14,0.5586999778907804,1143.7471264367816,1782.7586206896551
20 Maggio 2021,99506.0,UOG3,MILANO,F,True,,093/21,PIENA PROP.,ALLOGGIO,3.0,20210512011249.html,'111,87.0,AGGIUDICATA,99506.0,690125.0,161110.0,esito-20maggio2021.pdf,L.Q.,VIA ALESSANDRO LITTA MODIGNANI,45.5203548,9.1541778,14,0.6190983458283923,1143.7471264367816,1851.83908045977
20 Maggio 2021,78919.0,UOG3,MILANO,F,True,,094/21,PIENA PROP.,ALLOGGIO,2.0,20210512011249.html,'105,69.0,ASTA DESERTA,78919.0,690371.0,0.0,esito-20maggio2021.pdf,,VIA ALESSANDRO LITTA MODIGNANI,45.52056349999999,9.1525942,14,-1.0,1143.7536231884058,0.0
20 Maggio 2021,79380.0,UOG3,MILANO,G,True,,095/21,PIENA PROP.,ALLOGGIO,3.0,20210512011249.html,'48,84.0,AGGIUDICATA,79380.0,700437.0,142200.0,esito-20maggio2021.pdf,Y.M.,VIA ARTURO GRAF,45.5127736,9.1440532,14,0.7913832199546486,945.0,1692.857142857143
20 Maggio 2021,69930.0,UOG3,MILANO,G,True,,096/21,PIENA PROP.,ALLOGGIO,2.0,20210512011249.html,'60,71.0,ASTA DESERTA,69930.0,700531.0,0.0,esito-20maggio2021.pdf,,VIA ARTURO GRAF,45.5127166,9.1446109,14,-1.0,984.9295774647887,0.0
20 Maggio 2021,64260.0,UOG3,MILANO,G,True,,097/21,PIENA PROP.,ALLOGGIO,2.0,20210512011249.html,'31,68.0,AGGIUDICATA,64260.0,700839.0,115100.0,esito-20maggio2021.pdf,M.V.L.M.,VIA FILIPPO DE PISIS,45.5120273,9.1425694,14,0.7911609088079676,945.0,1692.6470588235295
20 Maggio 2021,78435.0,UOG3,MILANO,G,True,,098/21,PIENA PROP.,ALLOGGIO,3.0,20210512011249.html,'49,83.0,AGGIUDICATA,78435.0,701029.0,145010.0,esito-20maggio2021.pdf,P.X.,VIA FILIPPO DE PISIS,45.5097763,9.146884000000002,14,0.8487919933703066,945.0,1747.1084337349398
20 Maggio 2021,104500.0,UOG3,MILANO,G,True,,099/21,PIENA PROP.,ALLOGGIO,3.0,20210512011249.html,'160,95.0,AGGIUDICATA,104500.0,722185.0,193380.0,esito-20maggio2021.pdf,Z.L.-.Y.S.,VIA FRANCESCO CILEA,45.5018357,9.0947641,9,0.8505263157894737,1100.0,2035.578947368421
20 Maggio 2021,100100.0,UOG3,MILANO,G,True,,100/21,PIENA PROP.,ALLOGGIO,3.0,20210512011249.html,'1,91.0,AGGIUDICATA,100100.0,722564.0,168000.0,esito-20maggio2021.pdf,P.T.,VIA FRANCESCO ANTONIO MUTTONI,45.4987015,9.1091395,9,0.6783216783216783,1100.0,1846.1538461538462
20 Maggio 2021,80646.0,UOGR,CORSICO,F,True,,101/21,PIENA PROP.,ALLOGGIO,3.0,20210512011249.html,'14,81.0,AGGIUDICATA,80646.0,740735.0,135600.0,esito-20maggio2021.pdf,S.F.I.R.,VIA EUGENIO CURIEL,45.4392656,9.0935854,7,0.6814225132058627,995.6296296296297,1674.0740740740741
