base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,source_url,street_number,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,auction_date,surface_sqm,data_source,lat,lng,zone_id,price_disparity,base_price_per_sqm,final_base_price_eur
,,,,,,002/24,,,,,,,AGGIUDICATA,120780.0,160143.0,308195.0,esito-15febbraio2024.pdf,B.M.R.\.,MILANO VIA GIOVANNI PASCOLI '4,15 Febbraio 2024,61.0,pdf_only,45.4467192,9.2718486,17,1.5517055803941049,1980.0,5052.377049180328
,,,,,,002/25,,,,,,,AGGIUDICATA,110670.0,450043.0,175550.0,esito-13febbraio2025.pdf,C.A.,MILANO VIA GIOVANNI AMBROGIO DE PREDIS '11,13 Febbraio 2025,62.0,pdf_only,45.4962095,9.152778,40,0.5862474021866811,1785.0,2831.451612903226
,,,,,,002/26,,,,,,,AGGIUDICATA,136097.0,280383.0,218253.0,esito-12febbraio2026.pdf,A.F.,MILANO VIA GASPARE ASELLI '18,12 Febbraio 2026,58.0,pdf_only,45.4706867,9.230349,-1,0.6036576853273768,2346.5,3762.9827586206898
,,,,,,003/15,,,,,,,AGGIUDICATA,103200.0,160083.0,140000.0,esito-18febbraio15.pdf,C.W.,MILANO VIA GIOVANNI PASCOLI '2,18 Febbraio 2015,,pdf_only,45.4467219,9.2720662,17,0.35658914728682173,,
,,,,,,003/16,,,,,,,AGGIUDICATA,49183.0,280536.0,116200.0,esito-11febbraio16.pdf,S.G.T.,MILANO PIAZZA ANDREA FUSINA '2,11 Febbraio 2016,,pdf_only,45.4685592,9.2303688,-1,1.3626049651302279,,
,,,,,,003/17,,,,,,,AGGIUDICATA,93840.0,160185.0,176550.0,esito-08marzo17.pdf,S.A.E.I.,MILANO VIA GIOVANNI PASCOLI '4 B,8 Marzo 2017,,pdf_only,45.3506656,9.023686,-1,0.8813938618925832,,
65846.0,UOG4,MILANO,G,False,,003/18,,ALLOGGIO,2.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,3,AGGIUDICATA,65846.0,410569.0,107440.0,esito-08marzo18.pdf,L.L.,VIA ILLIRICO,08 Marzo 2018,57.0,wayback,45.46932289999999,9.2322157,43,0.6316860553412508,1155.1929824561403,1884.9122807017543
,,,,,,003/19,,,,,,,AGGIUDICATA,48450.0,341238.0,62500.0,esito-21febbraio19.pdf,O.S.,MILANO VIA FILIPPO ABBIATI '5,21 Febbraio 2019,,pdf_only,45.4721247,9.1401946,22,0.2899896800825593,,
,,,,,,003/21,,,,,,,AGGIUDICATA,77330.0,410429.0,150216.0,esito-18febbraio2021.pdf,C.A.-.A.,MILANO VIA ILLIRICO '1,18 Febbraio 2021,,pdf_only,45.4693088,9.232309,43,0.9425320056899005,,
,,,,,,003/22,,,,,,,AGGIUDICATA,74518.0,410584.0,172760.0,esito-17febbraio2022.pdf,P.I.-.V.P.,MILANO VIA ILLIRICO '3 B,17 Febbraio 2022,,pdf_only,45.4697051,9.2324398,42,1.3183660323680184,,
,,,,,,003/23,,,,,,,AGGIUDICATA,87278.0,551404.0,166784.0,esito-9marzo2023.pdf,M.C.,MILANO VIALE UNGHERIA '2,9 Marzo 2023,,pdf_only,45.4454916,9.242027,24,0.9109512133641926,,
,,,,,,003/24,,,,,,,STRALCIATO,99280.0,230850.0,0.0,esito-15febbraio2024.pdf,,MILANO PIAZZA PREALPI '4,15 Febbraio 2024,73.0,pdf_only,45.4953597,9.1535242,40,-1.0,1360.0,0.0
,,,,,,003/25,,,,,,,AGGIUDICATA,131391.0,551547.0,182000.0,esito-13febbraio2025.pdf,T.P.-.M.A.A.C.,MILANO VIALE UNGHERIA '4,13 Febbraio 2025,73.0,pdf_only,45.4455094,9.2429598,24,0.3851785890966657,1799.876712328767,2493.150684931507
,,,,,,003/26,,,,,,,AGGIUDICATA,159600.0,390223.0,175000.0,esito-12febbraio2026.pdf,H.H.N.N.,MILANO PIAZZALE SELINUNTE '11,12 Febbraio 2026,70.0,pdf_only,45.47256,9.1370237,22,0.09649122807017543,2280.0,2500.0
,,,,,,004/15,,,,,,,ASTA DESERTA,89760.0,230196.0,0.0,esito-18febbraio15.pdf,,MILANO VIA BRAMANTINO '3,18 Febbraio 2015,,pdf_only,45.4964862,9.1511451,40,-1.0,,
,,,,,,004/16,,,,,,,ASTA DESERTA,29376.0,342699.0,0.0,esito-11febbraio16.pdf,,MILANO VIA GIACINTO GIGANTE '5,11 Febbraio 2016,,pdf_only,45.4713523,9.1384736,22,-1.0,,
,,,,,,004/17,,,,,,,AGGIUDICATA,56848.0,310429.0,121273.0,esito-08marzo17.pdf,C.S.,MILANO VIALE ARGONNE '35,8 Marzo 2017,,pdf_only,45.4684983,9.2278383,-1,1.133285251899803,,
74592.0,UOG3,MILANO,G,False,,004/18,,ALLOGGIO,3.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,4,AGGIUDICATA,74592.0,510823.0,82000.0,esito-08marzo18.pdf,L.C.,PIAZZA PIETRO GASPARRI,08 Marzo 2018,74.0,wayback,45.5258026,9.164305,-1,0.09931359931359932,1008.0,1108.1081081081081
,,,,,,004/19,,,,,,,AGGIUDICATA,72128.0,410195.0,121200.0,esito-21febbraio19.pdf,P.L.,MILANO VIA DALMAZIO BIRAGO '4,21 Febbraio 2019,,pdf_only,45.4697643,9.231295,39,0.6803460514640639,,
,,,,,,004/21,,,,,,,AGGIUDICATA,78100.0,551114.0,116500.0,esito-18febbraio2021.pdf,R.L.M.K.,MILANO VIA ORESTE SALOMONE '91 A,18 Febbraio 2021,,pdf_only,45.4453703,9.2414046,24,0.49167733674775926,,
,,,,,,004/22,,,,,,,AGGIUDICATA,117806.0,460410.0,210000.0,esito-17febbraio2022.pdf,H.X.,MILANO VIA JACOPINO DA TRADATE '7,17 Febbraio 2022,,pdf_only,45.4966727,9.1496627,41,0.7825917185881873,,
,,,,,,004/23,,,,,,,AGGIUDICATA,85120.0,620402.0,133770.0,esito-9marzo2023.pdf,M.A.H.M.,MILANO VIA CONCILIO VATICANO II '2,9 Marzo 2023,,pdf_only,45.5127581,9.1475663,38,0.571546052631579,,
,,,,,,004/24,,,,,,,AGGIUDICATA,97708.0,410150.0,222222.0,esito-15febbraio2024.pdf,G.S.,MILANO VIA DALMAZIO BIRAGO '4,15 Febbraio 2024,55.0,pdf_only,45.4697643,9.231295,39,1.2743480574773816,1776.509090909091,4040.4
,,,,,,004/25,,,,,,,AGGIUDICATA,136791.0,553618.0,183666.0,esito-13febbraio2025.pdf,A.M.F.M.-.O.-.M.M.A.,MILANO VIA ROMUALDO BONFADINI '94,13 Febbraio 2025,76.0,pdf_only,45.4443436,9.2427844,24,0.34267605324911726,1799.8815789473683,2416.657894736842
,,,,,,004/26,,,,,,,AGGIUDICATA,129058.0,410587.0,232500.0,esito-12febbraio2026.pdf,C.V.,MILANO VIA ILLIRICO '3,12 Febbraio 2026,55.0,pdf_only,45.4693581,9.2323084,43,0.8015155976382712,2346.509090909091,4227.272727272727
,,,,,,005/15,,,,,,,AGGIUDICATA,77088.0,230486.0,77221.0,esito-18febbraio15.pdf,P.A.,MILANO VIA JACOPINO DA TRADATE '8,18 Febbraio 2015,,pdf_only,45.4966727,9.1496627,41,0.0017253009547530096,,
,,,,,,005/16,,,,,,,AGGIUDICATA,47002.0,342843.0,55110.0,esito-11febbraio16.pdf,L.N.A.A.,MILANO VIA DANIELE RICCIARELLI '12,11 Febbraio 2016,,pdf_only,45.4690256,9.1376778,22,0.1725032977320114,,
,,,,,,005/17,,,,,,,ASTA DESERTA,48742.0,343544.0,0.0,esito-08marzo17.pdf,,MILANO PIAZZALE SELINUNTE '4,8 Marzo 2017,,pdf_only,45.4721428,9.1382315,22,-1.0,,
93744.0,UOG3,MILANO,G,True,,005/18,,ALLOGGIO,3.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,57,AGGIUDICATA,93744.0,511202.0,138980.0,esito-08marzo18.pdf,J.Y.,VIA COMASINA,08 Marzo 2018,93.0,wayback,45.5274963,9.1626524,-1,0.48254821641918416,1008.0,1494.4086021505377
,,,,,,005/19,,,,,,,AGGIUDICATA,94563.0,480022.0,180210.0,esito-21febbraio19.pdf,C.S.,MILANO VIA MEDEGHINO '24,21 Febbraio 2019,,pdf_only,45.4314808,9.1801371,9,0.9057136512166493,,
,,,,,,005/21,,,,,,,AGGIUDICATA,96800.0,551216.0,182000.0,esito-18febbraio2021.pdf,H.M.F.M.,MILANO VIA ORESTE SALOMONE '91 B,18 Febbraio 2021,,pdf_only,45.4471527,9.2414292,-1,0.8801652892561983,,
,,,,,,005/22,,,,,,,AGGIUDICATA,64904.0,470486.0,91000.0,esito-17febbraio2022.pdf,S.N.A.A.,MILANO VIALE OMERO '19,17 Febbraio 2022,,pdf_only,45.4331057,9.2246652,15,0.40207075064710956,,
,,,,,,005/23,,,,,,,AGGIUDICATA,94613.0,652146.0,161200.0,esito-9marzo2023.pdf,S.K.H.N.,MILANO VIA DELLE BETULLE '5,9 Marzo 2023,,pdf_only,45.5236829,9.3586662,2,0.7037827782651432,,
,,,,,,005/24,,,,,,,AGGIUDICATA,101261.0,410539.0,202400.0,esito-15febbraio2024.pdf,L.C.,MILANO VIA ILLIRICO '3,15 Febbraio 2024,57.0,pdf_only,45.4693581,9.2323084,43,0.9987951926210485,1776.5087719298247,3550.877192982456
,,,,,,005/25,,,,,,,AGGIUDICATA,101086.0,621053.0,151480.0,esito-13febbraio2025.pdf,I.N.G.Y.,MILANO VIA CONCILIO VATICANO II '1,13 Febbraio 2025,71.0,pdf_only,45.5127581,9.1475663,38,0.498526007557921,1423.7464788732395,2133.521126760563
,,,,,,005/26,,,,,,,AGGIUDICATA,165585.0,433162.0,266990.0,esito-12febbraio2026.pdf,V.M.,MILANO VIA ANGELO INGANNI '64,12 Febbraio 2026,83.0,pdf_only,45.4542629,9.1242734,37,0.6124045052390011,1995.0,3216.746987951807
